Refacility,facilityname,Syste
14179,Nandi Hills County Hospital,26547
12091,Inyuu Health Centre,26540
16991,Katulani Sub County Hospital (Kitui),26527
14175,Yala Sub County Hospital,26526
15212,Molo District Hospital,26522
14947,Kitale County Hospital,26521
20491,Junda Dispensary,26518
13925,Nyangena Hospital,26515
14950,Kitengela sub-county hospital,26514
14469,Entasopia Health Centre,26511
14555,Huruma District Hospital,26509
20619,Oasis Specialist Hospital,26507
14652,Kajiado County Referral Hospital,26502
18651,Wajir TB Manyatta Sub -District Hospital,26499
14028,Ram Hospital,26491
16075,Nasianda Health Centre,26490
12230,Kathiani Sub County Hospital,26489
15077,Longisa County Referral Hospital,26485
13918,Nyanchwa Adventist Hospital,26482
12488,Matuu District Hospital,26450
18516,Kalulini Health Centre,26445
12566,Mulango (AIC) Health Centre,26444
15489,North-lake Rocco Dispensary,26442
10609,Kimbimbi Sub-District Hospital,26441
12626,Mwingi Level IV Hospital,26440
14958,Kobos Health Centre,26437
17127,Manoa Dispensary,26436
14380,Cherangany Nursing Home,26434
14522,GK Prisons Dispensary (Laikipia East),26433
19485,VIPS Health Servises,26432
16795,Nairobi Womens Hospital Adams,26426
15008,Lanet Health Centre,26423
17704,Voi Medical Centre,26421
10777,Murang'a District Hospital,26413
15204,Moi Teaching Refferal Hospital,26403
17065,Kangeta GK Prison Dispensary,26398
15051,Loitokitok Sub County Hospital,26395
15106,Maiela Health Centre,26393
10916,JM Kariuki Memorial County Referral Hospital,26384
17877,G.K Prisons(Thika),26383
17816,Muangeni Dispensary,26382
18266,Mediheal Hospital (Nakuru),26365
20137,Rhonda Health centre,26363
18856,Laisamis Sub county Referral Hospital (MARSABIT SOUTH),26360
17779,Muvuko Dispensary,26355
15282,Naivasha (AIC) Medical Centre,26353
15108,Mai Mahiu Health centre,26347
14706,Kapkatet District Hospital,26346
10236,Gatura Healh Centre,26345
15227,Mosiro Dispensary,26344
15652,St Mary Health Centre (Kiserian),26337
16924,Muliluni Dispensary,26335
16141,St Mary's Hospital (Mumias),26331
15996,Malava Sub County Hospital,26325
18312,Bura Health Centre,26322
15009,Langa Langa Sub County Hospital,26316
14514,GK Farm Prison Health Centre,26305
20548,Narok Cottage Hospital,26295
17911,Kisauni Health Centre,26254
14524,GK Prisons Dispensary (Ngeria),26250
13921,Nyakach County Hospital,26248
17055,Mwingi Medicare Centre,26245
14677,Kampi Samaki Health Centre,26235
18802,Kamashia Dispensary,26230
14818,Katilu Health Centre,26228
18887,Githogoro Runda Baptist Clinic (Getrudes Nairobi),26227
14280,Cedar Associate Clinic,26224
18776,St Lukes Orthopaedic and Trauma Hospital,26221
20335,Mwanguda Dispensary,26220
15859,Chombeli Health Centre,26212
20019,Isbania Prevention Centre,26209
19930,LVCT DICE Clinic Muhuru,26208
17943,St Francis Community Hospital,26198
14110,St Joseph Mission Hospital,26194
14042,Rera Health Centre,26191
17518,Masogo Dispensary (Gem),26190
15238,Msekekwa Health Centre,26189
18267,Bomu Medical Centre (Mariakani),26188
14080,Siaya County Referral Hospital,26187
12806,Tulia Health Centre,26168
13955,Oboch Dispensary,26167
14957,KMQ Dispensary,26151
14017,Port Florence Hospital,26150
14428,Elburgon (PCEA) Dispensary,26149
17379,Mutiokiama Health Centre,26142
17950,Thika Road Health Services Ltd (Kasarani),26127
14582,Isinya Health Centre,26112
20692,Vigetse Medical Clinic,26103
15564,Sigor Sub District Hospital,26101
20194,Shianda Dispensary,26091
19963,Holy family Catholic Hospital (Githunguri),26088
17596,Shinyalu Model Health Centre,26067
18230,Kauthulini Dispensary,26065
14432,Eldama Ravine Sub County Hospital,26053
18608,Gachororo Health Centre,26052
14009,Oyani Sub County Hospital,26051
14166,Verna Health Centre,26040
14837,Keringet Health Centre,26036
18744,Premium Health Services,26034
14703,Kapkagaron Dispensary,26033
18396,Barding Dispensary,26032
14120,St Monica Hospital,26027
13944,Nyathengo Dispensary,26025
21115,Mago Care Health Centre,26023
19730,Endarasha Medical Clinic,26019
21213,Mjanaheri Dispensary,26018
11563,Marereni Dispensary,26011
20005,Mogotio Sub County Hospital (Baringo),26004
14063,Rwambwa Sub-county Hospital,26002
15228,Mosore Dispensary,26001
19250,Mosoriot Clinic,26000
17521,Randago Dispensary,25998
13831,Muhoroni County Hospital,25996
19958,AAR Gwh Health Care Ltd,25984
12476,Masinga Sub County Hospital,25978
17512,Lihanda Health Centre,25976
17858,Sirikwa peace Dispensary,25975
12602,Mutituni  Level 4 Hospital,25954
17921,Kibwezi (PCEA) Dispensary,25950
15188,Mirugi Kariuki Sub County Hospital,25949
17728,Migori GK Prison Dispensary,25944
18433,Karibaribi Dispensary,25939
14198,Amakuriat Dispensary,25931
15229,Mosoriot Sub County Hospital,25929
14121,St Monica Rapogi Hospital,25915
18009,Algadir Medical Centre,25911
14051,Rigoma Dispensary,25897
14753,Kapsara Sub County Hospital,25833
14148,Ting'wangi Health Centre,25827
14064,Sagam Community Hospital,25813
17740,Mulot Health Centre,25792
16254,Kyuasini Health Centre,25788
18432,Makongeni Dispensary,25785
12238,Kathulumbi Health Centre,25784
20726,Bodo Medical Clinic,25781
17120,Shelemba Dispensary,25777
14102,St Barnabas Dispensary,25773
18581,Mlolongo Health Centre,25770
13979,Ombo Kachieng' Dispensary,25765
10274,Nuclear Medical and Diagnostic Centre,25759
18043,Mbungoni Catholic Dispensary (CBHC),25754
19482,Medanta Africare Limited,25742
14849,Kibendo Health Centre,25730
18912,Mama Anns Odede Community Health Centre,25723
18557,Tumaini DICE - Asembo Bay,25722
13987,Ong'ielo Model Health Centre,25721
14068,Saradidi Dispensary,25719
13874,Nyagoko Dispensary,25717
14013,Pap Kodero Health Centre,25704
14026,Rageng'ni Dispensary,25702
13845,Ndori Health Centre,25701
14003,Othoro Sub County Hospital,25698
13977,OLPS Clinic,25696
14575,Industrial Area Dispensary,25694
13991,Oresi Health Centre,25672
14139,Tabaka Mission Hospital,25663
11164,Wamumu Dispensary,25658
15913,Jumuia Mission Hospital Kaimosi,25657
14510,Gilgil Sub County Hospital,25656
20746,Nice View Medical Centre,25655
15170,Melwa Health Centre,25654
11092,Thiba Health Centre,25650
20323,Bungoma West Medical Services,25644
17929,Indangalasia Dispensary,25625
20561,Kamwimbi Dispensary,25612
18936,Robins Health Care Clinic,25611
12791,Acef Ena Health Centre,25610
17619,Nairobi Homes Medical Clinic,25585
20946,Gram's Medical Clinic,25583
17520,Got Regea Dispensary,25575
18426,Siala Kaduol,25571
